"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (m)"
6.250574357E1,6.518791516E1,2.535900760E1,4.762818617E0,1.460000038E0,2.341999969E2,3.790092468E0,2.500000000E0
6.350596518E1,6.518790778E1,2.535897905E1,4.514402747E0,1.480000019E0,2.336999969E2,3.790092468E0,2.500000000E0
6.450537446E1,6.518789996E1,2.535895082E1,4.019466159E0,1.519999981E0,2.333999939E2,3.790092468E0,2.500000000E0
6.550582716E1,6.518789126E1,2.535892273E1,3.739862052E0,1.570000052E0,2.346000061E2,3.790092468E0,2.500000000E0
6.650549794E1,6.518788231E1,2.535889360E1,3.374015158E0,1.580000043E0,2.338000031E2,3.790092468E0,2.500000000E0
6.750557123E1,6.518787224E1,2.535885796E1,3.378101446E0,1.750000000E0,2.355000000E2,3.790092468E0,2.500000000E0
6.850563997E1,6.518786240E1,2.535882656E1,3.198472738E0,1.649999976E0,2.315000000E2,3.790092468E0,2.500000000E0
6.950557607E1,6.518785290E1,2.535879726E1,3.012374605E0,1.639999986E0,2.323000031E2,3.790092468E0,2.500000000E0
7.050531878E1,6.518784421E1,2.535876684E1,2.846905724E0,1.629999995E0,2.353999939E2,3.790092468E0,2.500000000E0
7.150514424E1,6.518783568E1,2.535873582E1,2.689920523E0,1.669999957E0,2.370000000E2,3.790092468E0,2.500000000E0
7.250571039E1,6.518782657E1,2.535870601E1,2.567176586E0,1.679999948E0,2.341000061E2,3.790092468E0,2.500000000E0
7.350560966E1,6.518781716E1,2.535867247E1,2.811985682E0,1.690000057E0,2.353000031E2,3.790092468E0,2.500000000E0
7.450524278E1,6.518780750E1,2.535864134E1,2.508272479E0,1.669999957E0,2.353999939E2,3.790092468E0,2.500000000E0
7.550599065E1,6.518779649E1,2.535860959E1,2.442902065E0,1.720000029E0,2.320000000E2,3.790092468E0,2.500000000E0
7.650572263E1,6.518778662E1,2.535857411E1,2.315213395E0,1.759999990E0,2.358999939E2,3.790092468E0,2.500000000E0
7.750558471E1,6.518777646E1,2.535854031E1,2.345728359E0,1.750000000E0,2.346999969E2,3.790092468E0,2.500000000E0
7.850539950E1,6.518776714E1,2.535850727E1,2.323386646E0,1.759999990E0,2.358999939E2,3.790092468E0,2.500000000E0
7.950521929E1,6.518775710E1,2.535847199E1,2.198566756E0,1.809999943E0,2.358999939E2,3.790092468E0,2.500000000E0
8.050698705E1,6.518774702E1,2.535843967E1,2.037492653E0,1.789999962E0,2.333000031E2,3.790092468E0,2.500000000E0
8.150515424E1,6.518773693E1,2.535840599E1,1.744338178E0,1.799999952E0,2.343000031E2,3.790092468E0,2.500000000E0
8.250529164E1,6.518772755E1,2.535837123E1,1.718395044E0,1.799999952E0,2.365000000E2,3.790092468E0,2.500000000E0
8.350592002E1,6.518772057E1,2.535833978E1,1.178901694E0,1.789999962E0,2.385000000E2,3.790092468E0,2.500000000E0
8.450522742E1,6.518771175E1,2.535830384E1,1.414859890E0,1.820000052E0,2.388000031E2,3.790092468E0,2.500000000E0
8.550571809E1,6.518770338E1,2.535826985E1,1.320190861E0,1.789999962E0,2.375000000E2,3.790092468E0,2.500000000E0
8.650548861E1,6.518769459E1,2.535823527E1,1.359249930E0,1.809999943E0,2.368999939E2,3.790092468E0,2.500000000E0
8.750570611E1,6.518768620E1,2.535820120E1,1.290581870E0,1.779999971E0,2.386000061E2,3.790092468E0,2.500000000E0
8.850569210E1,6.518767863E1,2.535816765E1,1.212941368E0,1.759999990E0,2.411000061E2,3.790092468E0,2.500000000E0
8.950561986E1,6.518767213E1,2.535813536E1,1.013474463E0,1.730000019E0,2.426000061E2,3.790092468E0,2.500000000E0
9.050590866E1,6.518766682E1,2.535810028E1,1.141215853E0,1.730000019E0,2.501999969E2,3.790092468E0,2.500000000E0
9.150552991E1,6.518766344E1,2.535806582E1,9.432118339E-1,1.710000038E0,2.533999939E2,3.790092468E0,2.500000000E0
9.250597955E1,6.518765993E1,2.535803006E1,1.009856028E0,1.700000048E0,2.543999939E2,3.790092468E0,2.500000000E0
9.350528220E1,6.518765742E1,2.535799399E1,5.519025120E-1,1.679999948E0,2.585000000E2,3.790092468E0,2.500000000E0
9.450583616E1,6.518765670E1,2.535795785E1,1.935575050E-1,1.679999948E0,2.661000061E2,3.790092468E0,2.500000000E0
9.550603486E1,6.518765853E1,2.535792033E1,-1.799257354E-1,1.690000057E0,2.747999878E2,3.790092468E0,2.500000000E0
9.650598450E1,6.518766051E1,2.535788288E1,-4.900545397E-1,1.639999986E0,2.773999939E2,3.790092468E0,2.500000000E0
9.750603762E1,6.518766442E1,2.535785387E1,-5.721550614E-1,1.590000033E0,2.836000061E2,3.790092468E0,2.500000000E0
9.850519199E1,6.518766992E1,2.535782086E1,-7.970794840E-1,1.649999976E0,2.907999878E2,3.790092468E0,2.500000000E0
9.950584423E1,6.518767674E1,2.535778244E1,-1.038790392E0,1.600000024E0,2.985000000E2,3.790092468E0,2.500000000E0
1.005056090E2,6.518768495E1,2.535774743E1,-8.168781638E-1,1.570000052E0,3.063999939E2,3.790092468E0,2.500000000E0
1.015053591E2,6.518769400E1,2.535771692E1,-3.607124161E-1,1.559999943E0,3.123999939E2,3.790092468E0,2.500000000E0
1.025058714E2,6.518770458E1,2.535768227E1,-5.947948886E-1,1.870000005E0,3.113999939E2,3.790092468E0,2.500000000E0
1.035060366E2,6.518771425E1,2.535764901E1,-1.050922522E0,1.860000014E0,3.006000061E2,3.790092468E0,2.500000000E0
1.045054003E2,6.518772739E1,2.535760747E1,-2.107883704E0,2.259999990E0,3.091000061E2,3.790092468E0,2.500000000E0
1.055060387E2,6.518774074E1,2.535757100E1,-2.892749146E0,2.049999952E0,3.118999939E2,3.790092468E0,2.500000000E0
1.065053998E2,6.518775834E1,2.535753399E1,-4.010136259E0,2.359999895E0,3.181000061E2,3.790092468E0,2.500000000E0
1.075050397E2,6.518777645E1,2.535749693E1,-4.603903020E0,2.369999886E0,3.182999878E2,3.790092468E0,2.500000000E0
1.085054906E2,6.518779495E1,2.535745694E1,-4.780495320E0,2.500000000E0,3.187000122E2,3.790092468E0,2.500000000E0
1.095060486E2,6.518781825E1,2.535741875E1,-4.744015778E0,2.819999933E0,3.255000000E2,3.790092468E0,2.500000000E0
1.105059775E2,6.518783817E1,2.535737998E1,-5.245010342E0,2.640000105E0,3.225000000E2,3.790092468E0,2.500000000E0
1.115060587E2,6.518785853E1,2.535734536E1,-5.082552056E0,2.710000038E0,3.265000000E2,3.790092468E0,2.500000000E0
1.125059228E2,6.518788095E1,2.535731346E1,-4.658497473E0,2.829999924E0,3.292000122E2,3.790092468E0,2.500000000E0
1.135060649E2,6.518790336E1,2.535728087E1,-4.357123701E0,2.789999962E0,3.271000061E2,3.790092468E0,2.500000000E0
1.145054607E2,6.518792551E1,2.535724703E1,-4.039392661E0,2.809999943E0,3.247999878E2,3.790092468E0,2.500000000E0
