"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)"
3.370556563E1,-1.739840746E0,3.301575661E0,3.264671564E0
3.371060958E1,-1.851152778E0,2.990495682E0,3.325280666E0
3.371566485E1,-1.831216216E0,2.570102692E0,3.493752480E0
3.372070938E1,-1.766680241E0,2.155328751E0,3.837176323E0
3.372575396E1,-1.629542589E0,1.736611366E0,4.035327911E0
3.373079849E1,-1.386916399E0,1.323653221E0,4.212446213E0
3.373585203E1,-1.120951176E0,9.453783035E-1,4.473099709E0
3.374089703E1,-9.042106867E-1,5.205469131E-1,4.793301582E0
3.374594203E1,-4.933526516E-1,2.406415939E-1,5.287574291E0
3.375098703E1,-6.606006622E-2,-3.816318512E-2,5.708112717E0
3.375607703E1,6.114341021E-1,-1.630086899E-1,5.855182171E0
3.376116703E1,1.209871531E0,1.476249695E-1,5.591906548E0
3.376625953E1,1.454074383E0,1.002899170E0,4.837759972E0
3.377131083E1,1.106816053E0,2.220227242E0,3.918612719E0
3.377622672E1,7.713366151E-1,3.517022133E0,3.145375729E0
3.378127125E1,7.832517028E-1,4.625901222E0,2.902822018E0
3.378631578E1,9.318910837E-1,5.422138214E0,3.120910645E0
3.379136031E1,8.532181382E-1,5.804644585E0,3.157470942E0
3.379645031E1,7.861551046E-1,5.591210365E0,2.667287350E0
3.380154031E1,5.586367846E-1,4.997040749E0,2.036103964E0
3.380663031E1,1.230589747E-1,4.356776237E0,1.620107889E0
3.381172964E1,-3.634150326E-1,3.646050453E0,1.148712873E0
3.381671891E1,-9.069147706E-1,3.041934013E0,5.939919949E-1
3.382176865E1,-1.272570848E0,2.515480042E0,-1.576347351E-1
3.382681839E1,-1.771634340E0,2.158343315E0,-1.031605721E0
3.383186813E1,-2.542522192E0,1.851738930E0,-2.020806074E0
3.383678875E1,-3.447448730E0,1.544848442E0,-3.183764458E0
3.384183208E1,-4.208388329E0,1.242587090E0,-4.309687614E0
3.384687537E1,-4.989774227E0,9.897451401E-1,-5.429334641E0
3.385191865E1,-5.338935375E0,9.641599655E-1,-5.915740967E0
3.385700865E1,-5.419917107E0,1.098813057E0,-6.397915840E0
3.386209865E1,-5.248092175E0,1.451172829E0,-6.505264759E0
3.386718865E1,-5.034398079E0,1.929965019E0,-6.607037067E0
3.387228854E1,-5.046950340E0,2.525301933E0,-6.378279209E0
3.387719854E1,-4.961169243E0,3.189272881E0,-6.040629387E0
3.388220646E1,-4.540303707E0,3.629246712E0,-5.440988541E0
3.388724953E1,-4.005811214E0,4.050874710E0,-4.907746315E0
3.389229260E1,-3.290642023E0,4.252970695E0,-4.572198391E0
3.389735057E1,-2.135561466E0,4.268996239E0,-4.360138893E0
3.390239438E1,-1.063895583E0,4.184969902E0,-4.561565876E0
3.390743823E1,-2.879645824E-1,4.000901222E0,-4.797831535E0
3.391248208E1,3.620391488E-1,3.721691132E0,-5.045426846E0
3.391753776E1,8.633434772E-1,3.409671783E0,-5.319259167E0
3.392258224E1,1.398597479E0,3.098516464E0,-5.893543720E0
3.392762662E1,2.078161478E0,2.683189392E0,-6.358654022E0
3.393267104E1,2.687549829E0,2.273921967E0,-6.750576019E0
3.393772500E1,3.026684761E0,1.894670486E0,-6.999917984E0
3.394276990E1,3.153631210E0,1.569374084E0,-7.190636635E0
3.394781479E1,3.345584869E0,1.164132118E0,-7.133281708E0
3.395285974E1,3.740937233E0,7.268209457E-1,-6.833476067E0
3.395791224E1,3.947890759E0,3.720979691E-1,-6.411095142E0
3.396295760E1,3.957557201E0,-1.511764526E-2,-5.822239399E0
3.396800292E1,3.913433552E0,-4.253444672E-1,-5.118244171E0
3.397304818E1,3.796207428E0,-8.395509720E-1,-4.421800137E0
3.397809948E1,3.581740856E0,-1.219607353E0,-3.730782032E0
3.398314511E1,3.475574017E0,-1.532246590E0,-3.090839624E0
3.398819068E1,3.295625210E0,-1.825527191E0,-2.567043304E0
3.399323625E1,2.946557283E0,-2.018391609E0,-2.100162029E0
3.399828672E1,2.633629084E0,-2.225824356E0,-1.760525823E0
3.400333255E1,2.447299957E0,-2.400044441E0,-1.566373348E0
3.400837844E1,2.191391230E0,-2.522073746E0,-1.301715732E0
3.401342422E1,1.693750739E0,-2.601636887E0,-7.795138359E-1
3.401847401E1,1.202871442E0,-2.748848915E0,-4.725779295E-1
3.402352000E1,9.906162024E-1,-2.887034416E0,-3.326938748E-1
3.402856604E1,8.132256269E-1,-3.030579567E0,-2.310956120E-1
3.403361208E1,6.567032337E-1,-3.165095806E0,-1.829559207E-1
3.403866125E1,4.204734564E-1,-3.285696507E0,-1.364541054E-1
3.404370745E1,1.523002386E-1,-3.387513638E0,-7.786965370E-2
3.404875365E1,-8.114957809E-2,-3.479972363E0,2.055037022E-2
3.405379984E1,-2.563467026E-1,-3.582080364E0,5.767703056E-2
3.405884854E1,-4.931423664E-1,-3.641102314E0,1.572316885E-1
3.406389490E1,-6.959387064E-1,-3.680927753E0,4.286469221E-1
3.406894120E1,-8.217604756E-1,-3.730288029E0,6.566400528E-1
3.407398755E1,-9.471468329E-1,-3.746156216E0,8.700836897E-1
3.407907755E1,-9.813703299E-1,-3.800288677E0,1.035528183E0
3.408416755E1,-9.532343149E-1,-3.835274220E0,1.210643888E0
3.408925755E1,-1.005979896E0,-3.846413136E0,1.271189332E0
3.409435578E1,-1.024687052E0,-3.824169636E0,1.341585279E0
3.409926578E1,-1.100298524E0,-3.768532276E0,1.368794799E0
3.410426833E1,-1.194306493E0,-3.732231617E0,1.401211739E0
3.410931339E1,-1.225392580E0,-3.672173977E0,1.448174596E0
3.411435839E1,-1.270224094E0,-3.569231510E0,1.442559004E0
3.411944839E1,-1.419767976E0,-3.447391987E0,1.442207694E0
3.412453839E1,-1.435021996E0,-3.330546856E0,1.298818946E0
3.412962839E1,-1.368771911E0,-3.237786770E0,1.160559058E0
3.413472740E1,-1.292640209E0,-3.135631084E0,1.013030767E0
3.413975479E1,-1.182775497E0,-3.043179989E0,8.272294402E-1
3.414480682E1,-1.005868316E0,-2.946079254E0,6.703922749E-1
3.414985891E1,-8.526186943E-1,-2.901753426E0,5.137180090E-1
3.415491094E1,-6.990993619E-1,-2.824039459E0,3.140813708E-1
3.415994224E1,-4.740046263E-1,-2.770300865E0,1.097408533E-1
3.416499328E1,-2.203706503E-1,-2.740511894E0,-4.678833485E-2
3.417004422E1,3.808093071E-2,-2.715537071E0,-1.078394055E-1
3.417509521E1,1.817758083E-1,-2.671463966E0,-1.643322706E-1
3.418000521E1,3.107981682E-1,-2.699082375E0,-2.548568845E-1
3.418501521E1,4.447485209E-1,-2.755372047E0,-2.975839972E-1
3.419005755E1,6.216734648E-1,-2.730239868E0,-2.976939678E-1
3.419509990E1,8.080010414E-1,-2.657253265E0,-2.935970426E-1
3.420016005E1,9.894871712E-1,-2.593853951E0,-2.951381207E-1
3.420520333E1,1.151726604E0,-2.396549225E0,-1.349397898E-1
3.421024656E1,1.290092707E0,-2.142032623E0,5.276596546E-2
3.421528974E1,1.394869447E0,-1.835137367E0,2.535809278E-1
3.422034724E1,1.504289985E0,-1.523753166E0,4.915331006E-1
3.422539125E1,1.594335318E0,-1.203108788E0,6.902526617E-1
3.423043516E1,1.698568225E0,-9.401836395E-1,9.119960070E-1
3.423547912E1,1.745403051E0,-5.819053650E-1,1.123443365E0
3.424053443E1,1.730136752E0,-2.431888580E-1,1.286556005E0
3.424557896E1,1.724598289E0,7.597732544E-2,1.430193543E0
3.425062349E1,1.628412366E0,4.282169342E-1,1.563934803E0
3.425566797E1,1.570839763E0,7.082786560E-1,1.654282570E0
